what,kind,bundleId,bundleVersion,description,time
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333371088110
java.vm.specification.version,sysinfo,,,"1.7",1333371088110
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333371088110
java.vm.version,sysinfo,,,"22.1-b02",1333371088110
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1333371088414
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1333371088925
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1333371089206
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1333371089498
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1333371090199
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1333371090227
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1333371090354
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1333371090403
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1333371090484
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333371150305
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1333371150311
started,bundle,net.sf.eclipsefp.haskell.buildwrapper,2.2.0,"net.sf.eclipsefp.haskell.buildwrapper",1333371151503
started,bundle,net.sf.eclipsefp.haskell.browser,2.2.0,"net.sf.eclipsefp.haskell.browser",1333371151627
started,bundle,net.sf.eclipsefp.haskell.util,2.2.0,"net.sf.eclipsefp.haskell.util",1333371151693
started,bundle,net.sf.eclipsefp.haskell.ghccompiler,2.2.0,"net.sf.eclipsefp.haskell.ghccompiler",1333371152097
started,bundle,net.sf.eclipsefp.haskell.core,2.2.0,"net.sf.eclipsefp.haskell.core",1333371152119
started,bundle,net.sf.eclipsefp.haskell.ui,2.2.0,"net.sf.eclipsefp.haskell.ui",1333371152153
started,bundle,org.python.pydev.core,2.3.0.2011121518,"org.python.pydev.core",1333371152413
started,bundle,org.python.pydev.debug,2.3.0.2011121518,"org.python.pydev.debug",1333371152449
started,bundle,com.python.pydev.analysis,2.3.0.2011121518,"com.python.pydev.analysis",1333371152579
started,bundle,org.python.pydev,2.3.0.2011121518,"org.python.pydev",1333371152678
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1333371153162
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1333371153330
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1333371153406
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1333371153454
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1333371166352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333371172654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333371186082
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333371186719
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1333371188055
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1333371188214
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1333371188267
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1333371188444
